Species	Group	TaxID	Source
Adineta_vaga	Metazoa	104782	accession_api
Aedes_aegypti	Metazoa	7159	accession_api
Aegilops_comosa	angiosperms	4485	accession_api
Aegilops_geniculata	angiosperms	130459	accession_api
Aegilops_speltoides	angiosperms	4573	name_search_full_name
Aegilops_tauschii	angiosperms	200361	accession_api
Aegista_chejuensis	Metazoa	1399158	metazoa_metadata
Aeolosoma_sp.	Metazoa	55817	metazoa_metadata
Agaricus_bisporus_var._bisporus_H97	Fungi	936046	accession_api
Agarophyton_chilense	Rhodophyta	2510777	name_search_full_name
Agathotanais_misakiensis	Metazoa	2823062	metazoa_metadata
Ageratina_adenophora	angiosperms	176616	accession_api
Agrocybe_chaxingu	Fungi	84603	accession_api
Agrocybe_pediades	Fungi	84607	accession_api
Agyrium_rufum	Fungi	443868	accession_api
Ajuga_decumbens	angiosperms	167911	name_search_full_name
Akanthomyces_lecanii_RCEF_1005	Fungi	1081108	accession_api
Akanthomyces_muscarius	Fungi	2231603	accession_api
Akebia_trifoliata	angiosperms	155132	name_search_full_name
Albizia_julibrissin	angiosperms	3813	accession_api
Alcyonidium_sp._KMK-2022	Metazoa	2969545	metazoa_metadata
Alderia_modesta	Metazoa	369574	metazoa_metadata
Alectoria_fallacina	Fungi	1903189	accession_api
Alexandromenia_crassa	Metazoa	1638916	metazoa_metadata
Alinda_biplicata	Metazoa	1290020	metazoa_metadata
Alipes_grandidieri	Metazoa	1257097	metazoa_metadata
Alitta_virens	Metazoa	880429	accession_api
Alligator_sinensis	Metazoa	38654	accession_api
Allium_cepa	angiosperms	4679	name_search_full_name
Allium_fistulosum	angiosperms	35875	name_search_full_name
Allodorylaimus	Metazoa	288449	metazoa_metadata
Allomyces_arbusculus	Fungi	64504	accession_api
Allomyces_javanicus	Fungi	64505	accession_api
Allomyces_macrogynus_ATCC_38327	Fungi	578462	accession_api
Alnus_glutinosa	angiosperms	3517	accession_api
Alopecurus_aequalis	angiosperms	114194	accession_api
Alsophila_spinulosa	pteridophyte	204586	name_search_full_name
Alternaria_alternata	Fungi	5599	accession_api
Alternaria_arborescens	Fungi	156630	accession_api
Alternaria_arbusti	Fungi	232088	accession_api
Alternaria_atra	Fungi	119953	accession_api
Alternaria_burnsii	Fungi	1187904	accession_api
Alternaria_conjuncta	Fungi	181017	accession_api
Alternaria_dauci	Fungi	48095	accession_api
Alternaria_ethzedia	Fungi	181014	accession_api
Alternaria_gaisen	Fungi	167740	accession_api
Alternaria_hordeiaustralica	Fungi	1187925	accession_api
Alternaria_incomplexa	Fungi	1187928	accession_api
Alternaria_infectoria	Fungi	45303	accession_api
Alternaria_metachromatica	Fungi	283354	accession_api
Alternaria_novae-zelandiae	Fungi	430562	name_search_full_name
Alternaria_novaezelandiae	Fungi	430562	accession_api
Alternaria_panax	Fungi	48097	accession_api
Alternaria_postmessia	Fungi	1187938	accession_api
Alternaria_rosae	Fungi	1187941	accession_api
Alternaria_triticimaculans	Fungi	297637	accession_api
Alternaria_ventricosa	Fungi	1187951	accession_api
Alternaria_viburni	Fungi	566460	accession_api
Alvinella_pompejana	Metazoa	6376	metazoa_metadata
Alyxoria_varia	Fungi	91480	accession_api
Amanita_brunnescens_Koide_BX004	Fungi	1457509	accession_api
Amanita_inopinata_Kibby_2008	Fungi	1457513	accession_api
Amanita_muscaria	Fungi	41956	accession_api
Amanita_phalloides	Fungi	67723	accession_api
Amanita_polypyramis_BW_CC	Fungi	1457511	accession_api
Amanita_thiersii_Skay4041	Fungi	703135	accession_api
Amaranthus_hypochondriacus	angiosperms	28502	accession_api
Amaranthus_tricolor	angiosperms	29722	accession_api
Ambigolimax_valentianus	Metazoa	1338344	metazoa_metadata
Ambispora_gerdemannii	Fungi	144530	accession_api
Ambispora_leptoticha	Fungi	144679	accession_api
Amblyomma_americanum	Metazoa	6943	accession_api
Amblyopyrum_muticum	angiosperms	3118280	accession_api
Amblyraja_radiata	Metazoa	386614	accession_api
Amborella_trichopoda	angiosperms	13333	accession_api
Ambrosia_artemisiifolia	angiosperms	4212	accession_api
Ameiurus_melas	Metazoa	219545	accession_api
Amia_calva	Metazoa	7924	accession_api
Amniculicola_lignicola_CBS_123094	Fungi	1392246	accession_api
Amoebidium_parasiticum	Protists	4881	name_search_full_name
Amorphochlora_amoebiformis	Protists	1561963	accession_api
Amorphotheca_resinae_ATCC_22711	Fungi	857342	accession_api
Ampelocalamus_luodianensis	angiosperms	387595	accession_api
Amphibalanus_amphitrite	Metazoa	1232801	accession_api
Amphichorda_felina	Fungi	37994	accession_api
Amphidinium_carterae	Protists	2961	accession_api
Amphiduros_fuscescens	Metazoa	1209993	accession_api
Amphimedon_queenslandica	Metazoa	400682	accession_api
Amphimeniidae_sp.	Metazoa	2137300	metazoa_metadata
