Species	Group	TaxID	TaxName	superkingdom	kingdom	phylum	class	order	family	genus
Elasticomyces_elasticus	Fungi	574655	Elasticomyces elasticus	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Elasticomyces
Electrophorus_electricus	Metazoa	8005	Electrophorus electricus	Eukaryota	Metazoa	Chordata	Actinopteri	Gymnotiformes	Gymnotidae	Electrophorus
Eleusine_coracana	angiosperms	191504	Eleusine coracana subsp. coracana	Eukaryota	Viridiplantae	Streptophyta	Magnoliopsida	Poales	Poaceae	Eleusine
Eleutherodactylus_coqui	Metazoa	57060	Eleutherodactylus coqui	Eukaryota	Metazoa	Chordata	Amphibia	Anura	Eleutherodactylidae	Eleutherodactylus
Elliptochloris_bilobata	chlorophyta	381761	Elliptochloris bilobata	Eukaryota	Viridiplantae	Chlorophyta	Trebouxiophyceae			Elliptochloris
Ellobium_chinense	Metazoa	1628040	Ellobium chinense	Eukaryota	Metazoa	Mollusca	Gastropoda	Ellobiida	Ellobiidae	Ellobium
Elsinoe_batatas	Fungi	2601811	Elsinoe batatas	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe
Elysia_chlorotica	Metazoa	188477	Elysia chlorotica	Eukaryota	Metazoa	Mollusca	Gastropoda		Plakobranchidae	Elysia
Elysia_crispata	Metazoa	231223	Elysia crispata	Eukaryota	Metazoa	Mollusca	Gastropoda		Plakobranchidae	Elysia
Elysia_hedgpethi	Metazoa	1522333	Elysia hedgpethi	Eukaryota	Metazoa	Mollusca	Gastropoda		Plakobranchidae	Elysia
Elysia_rufescens	Metazoa	380559	Elysia rufescens	Eukaryota	Metazoa	Mollusca	Gastropoda		Plakobranchidae	Elysia
Elysia_timida	Metazoa	154625	Elysia timida	Eukaryota	Metazoa	Mollusca	Gastropoda		Plakobranchidae	Elysia
Elysia_velutinus	Metazoa	2136272	Elysia velutinus	Eukaryota	Metazoa	Mollusca	Gastropoda		Plakobranchidae	Elysia
Emarellia_grisea	Fungi	1805848	Emarellia grisea	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Trematosphaeriaceae	Emarellia
Emergomyces_africanus	Fungi	1955775	Emergomyces africanus	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces
Emergomyces_pasteurianus_Ep9510	Fungi	1447872	Emergomyces pasteurianus Ep9510	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Emergomyces
Emericellopsis_atlantica	Fungi	2614577	Emericellopsis atlantica	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Emericellopsis
Emericellopsis_cladophorae	Fungi	2686198	Emericellopsis cladophorae	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Emericellopsis
Emiliania_huxleyi_CCMP1516	Protists	280463	Emiliania huxleyi CCMP1516	Eukaryota		Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania
Emydomyces_testavorans	Fungi	2070801	Emydomyces testavorans	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Nannizziopsiaceae	Emydomyces
Encephalitozoon_cuniculi_GB-M1	Fungi	284813	Encephalitozoon cuniculi GB-M1	Eukaryota	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_cuniculi_GBM1	Fungi	284813	Encephalitozoon cuniculi GB-M1	Eukaryota	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_hellem_ATCC_50504	Fungi	907965	Encephalitozoon hellem ATCC 50504	Eukaryota	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_intestinalis_ATCC_50506	Fungi	876142	Encephalitozoon intestinalis ATCC 50506	Eukaryota	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_romaleae_SJ-2008	Fungi	1178016	Encephalitozoon romaleae SJ-2008	Eukaryota	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Encephalitozoon_romaleae_SJ2008	Fungi	1178016	Encephalitozoon romaleae SJ-2008	Eukaryota	Fungi	Microsporidia			Unikaryonidae	Encephalitozoon
Enchytraeus_crypticus	Metazoa	913645	Enchytraeus crypticus	Eukaryota	Metazoa	Annelida	Clitellata	Enchytraeida	Enchytraeidae	Enchytraeus
Endocarpon_pusillum_Z07020	Fungi	1263415	Endocarpon pusillum Z07020	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon
Engystomops_pustulosus	Metazoa	76066	Engystomops pustulosus	Eukaryota	Metazoa	Chordata	Amphibia	Anura	Leptodactylidae	Engystomops
Enoplus_brevis	Metazoa	57292	Enoplus brevis	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplida	Enoplidae	Enoplus
